Date,Open,High,Low,Close,Adj Close,Volume
20/07/2020,25019.59961,25222.10938,24766.16992,25057.99023,25057.99023,1650620500
21/07/2020,25427.06055,25635.66016,25378.38086,25635.66016,25635.66016,1752171900
22/07/2020,25575.25,25779.66016,25057.93945,25057.93945,25057.93945,2390051200
23/07/2020,25235.90039,25346.35938,24992.36914,25263,25263,1910000000
24/07/2020,25040.75977,25101.09961,24598.46094,24705.33008,24705.33008,3029706400
27/07/2020,24909.96094,24972.46094,24526.91016,24603.25977,24603.25977,1491211000
28/07/2020,24942.74023,24942.74023,24642.34961,24772.75977,24772.75977,1358418200
29/07/2020,24710.50977,24905.43945,24671.50977,24883.14063,24883.14063,1080335100
30/07/2020,24979.24023,25197.31055,24616.05078,24710.58984,24710.58984,1779681900
31/07/2020,24747.28906,24938.84961,24534.78906,24595.34961,24595.34961,1763233900
03/08/2020,24566.81055,24647.2793,24250.98047,24458.13086,24458.13086,2012723100
04/08/2020,24664.59961,25062.41016,24539.43945,24946.63086,24946.63086,1906615900
05/08/2020,25029.39063,25167.2207,24868.28906,25102.53906,25102.53906,1477936300
06/08/2020,25201.43945,25201.43945,24641.08984,24930.58008,24930.58008,1596206100
07/08/2020,24909.36914,24909.36914,24167.78906,24531.61914,24531.61914,1610164700
10/08/2020,24376.82031,24536.00977,24272.66992,24377.42969,24377.42969,1256444100
11/08/2020,24662.03906,25031.57031,24662.03906,24890.67969,24890.67969,1628363900
12/08/2020,24868.63086,25291.80078,24685.43945,25244.01953,25244.01953,1763950100
13/08/2020,25490.01953,25490.01953,25144.46094,25230.66992,25230.66992,1761196500
14/08/2020,25072.44922,25378.5293,25040.55078,25183.00977,25183.00977,1429766800
17/08/2020,25212.2793,25588.66992,25163.28906,25347.33984,25347.33984,1955689100
18/08/2020,25470.9707,25470.9707,25257.88086,25367.38086,25367.38086,1534776000
19/08/2020,25359.0293,25382.50977,25079.25,25178.91016,25178.91016,1132238600
20/08/2020,25055.34961,25055.34961,24621.32031,24791.39063,24791.39063,1995701500
21/08/2020,25007.13086,25178.78906,24885.85938,25113.83984,25113.83984,1210267900
24/08/2020,25352.78906,25551.58008,25325.15039,25551.58008,25551.58008,1352263800
25/08/2020,25586.99023,25621.08008,25352.25977,25486.2207,25486.2207,1350837400
26/08/2020,25520.41016,25603.16992,25360.0293,25491.78906,25491.78906,1319876200
27/08/2020,25469.76953,25469.76953,25186.41992,25281.15039,25281.15039,1701268300
28/08/2020,25330.76953,25749.40039,25258.16016,25422.06055,25422.06055,2065272600
31/08/2020,25732.49023,25847.10938,25177.05078,25177.05078,25177.05078,3195378200
01/09/2020,25085.66992,25254.14063,24995.44922,25184.84961,25184.84961,1729452000
02/09/2020,25239.85938,25239.85938,24931.16992,25120.08984,25120.08984,2349955800
03/09/2020,25026.99023,25216.01953,24854.58008,25007.59961,25007.59961,2007341100
04/09/2020,24668.80078,24813.96094,24488.64063,24695.44922,24695.44922,3393745100
07/09/2020,24621.01953,24908.28906,24475.60938,24589.65039,24589.65039,1682872900
08/09/2020,24785.25977,24785.25977,24341.32031,24624.33984,24624.33984,2074591000
09/09/2020,24295.41992,24520.91992,24213.35938,24468.92969,24468.92969,1749348400
10/09/2020,24584.93945,24615.59961,24293.21094,24313.53906,24313.53906,1349478000
11/09/2020,24352.63086,24572.66016,24293.0293,24503.31055,24503.31055,1306598900
14/09/2020,24569.0293,24750.94922,24556.51953,24640.2793,24640.2793,1091380700
15/09/2020,24621.65039,24826.86914,24621.65039,24732.75977,24732.75977,1733769600
16/09/2020,24823.96094,24829.86914,24635.24023,24725.63086,24725.63086,1303202100
17/09/2020,24676.41016,24713.78906,24250.90039,24340.84961,24340.84961,1630900300
18/09/2020,24381.13086,24501.16016,24295.00977,24455.41016,24455.41016,2301812900
21/09/2020,24483.91016,24542.55078,23928.01953,23950.68945,23950.68945,1602081500
22/09/2020,23839.66992,23908.50977,23675.61914,23716.84961,23716.84961,1553227700
23/09/2020,23701.11914,23795.18945,23559.99023,23742.50977,23742.50977,1642933400
24/09/2020,23537.83008,23590.41992,23225.33008,23311.07031,23311.07031,1913657500
25/09/2020,23425.75,23495.25977,23124.25,23235.41992,23235.41992,1794075400
28/09/2020,23284.08984,23523.81055,23250.33984,23476.05078,23476.05078,1446839400
29/09/2020,23584.60938,23601.40039,23256.91992,23275.5293,23275.5293,1526746600
30/09/2020,23548.89063,23780.86914,23368.49023,23459.05078,23459.05078,1453016000
05/10/2020,24039.39063,24039.39063,23674.51953,23767.7793,23767.7793,1420427500
